anio,semana,consecutivo,clave_incendio,tipo_atencion,ifae,longitud_grados,longitud_minutos,longitud_segundos,latitud_grados,latitud_minutos,latitud_segundos,cve_municipio,entidad,municipio,predio_paraje,posible_causa,posible_causa_especifica,fecha_inicio,fecha_liquidacion,categoria_duracion_dias,deteccion,llegada,duracion,tipo_incendio,tipo_vegetacion,zona_bioclimatica,regimen_fuego,clasf_primer_orden,arbolado_adulto,renuevo,arbustivo,herbaceo,hojarasca,total_ha,clasificacion_sup_afectada,area_natural_protegida,ha_anp,categoria_anp,tipo_anp,combatiente_oficial,combatiente_rural_estatal,combatiente_rural_municipal,servicios_ambientales,proteccion_forestal,combatiente_rural_nucleo_agrario,conafor_otros,conanp_oficiales,conanp_otros,sedena,semar,guardia_nacional,otras_instancias_federales,gob_estatal,pc_estatal,gob_municipal,pc_municipal,voluntarios,propietarios,ongs,silvicultores,sector_privado,ap_forestal,total_combatientes,costo_estimado_incendio,ala_fija,helicoptero,cantidad,instancias_equipo_aereo,dron,intermunicipal,intermunicipal1,interestatal,interestatal1,clave_interestatal,crmf
2025,17,1954,25-10-0184,Combate,Incendio Forestal,104,32,18.0,22,47,7.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Minitas Arroyo Pinos Altos,Actividades agrícolas,Quema para preparación de siembra,2025-04-20,2025-04-22,2 a 3 Días,00:18:00,00:20:00,66:20:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.5894,2.3574,42.4341,47.149,45.3808,137.9107,Mayor a 100 Hectáreas,1-N/A,0.0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,11405.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1955,25-10-0185,Combate,Incendio Forestal,104,25,50.0,22,59,39.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Ventanas Duraznos,Actividades agrícolas,Quema para preparación de siembra,2025-04-20,2025-04-22,2 a 3 Días,00:10:00,00:34:00,63:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,3.6979,3.6979,17.7499,25.1457,21 a 50 Hectáreas,C.A.D.N.R. 043 Estado de Nayarit,25.1457,Área de Protección de los Recursos Naturales,Federal,0,0,0,0,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,18400.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1956,25-10-0186,Combate,Incendio Forestal,105,21,43.0,23,45,42.96,23,Durango,Pueblo Nuevo,Ejido El Brillante / El aterrizaje,Fogatas,Fogatas,2025-04-18,2025-04-19,2 a 3 Días,00:15:00,00:25:00,34:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,0.0,0.7595,0.4365,1.196,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,6195.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1957,25-10-0187,Combate,Incendio Forestal,104,43,18.0,24,7,9.0,5,Durango,Durango,Ejido San Vicente de Chupaderos / Villa de chupaderos,Quema de basureros,Quema en traspatio,2025-04-20,2025-04-20,1 Día,00:15:00,00:25:00,04:25:00,Superficial,Bosque de Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,1.0939,1.0939,0.4376,2.6254,0 a 5 Hectáreas,1-N/A,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,25,16560.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1958,25-10-0188,Combate,Incendio Forestal,105,8,44.69,23,54,51.55,5,Durango,Durango,Ejido Navajas / Los Artículos,Fogatas,Fogatas,2025-04-20,2025-04-20,1 Día,00:15:00,01:00:00,12:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,0.2946,0.0,1.473,1.7676,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,5865.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1959,25-10-0189,Combate,Incendio Forestal,104,36,45.0,22,56,35.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Tambores Arroyo seco,Actividades agrícolas,Quema para preparación de siembra,2025-04-20,2025-04-21,2 a 3 Días,00:20:00,00:40:00,22:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,7.9641,2.896,14.4801,25.3402,21 a 50 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16070.0,0,0,0,0,0,0,,0,,0,Norte
2025,19,1960,25-10-0191,Combate,Incendio Forestal,104,44,12.0,22,50,50.0,14,Durango,Mezquital,Com San Francisco de Ocotán / Joya de los Limones,Actividades agrícolas,Quema para preparación de siembra,2025-04-21,2025-05-07,Mayor de 7 Días,00:07:00,00:15:00,399:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,205.116,77.8026,134.3864,417.305,Mayor a 100 Hectáreas,1-N/A,0.0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,100,20490.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1961,25-10-0192,Combate,Incendio Forestal,104,26,46.81,22,57,44.96,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Órganos Tierra Blanca,Fumadores,Fumadores,2025-04-21,2025-04-22,2 a 3 Días,00:10:00,00:20:00,20:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,0.5244,1.5731,1.573,3.6705,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10470.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1962,25-10-0193,Combate,Incendio Forestal,105,55,24.0,24,59,21.0,32,Durango,Santiago Papasquiaro,Ejido Los Altares,Fumadores,Fumadores,2025-04-21,2025-04-24,4 a 7 Días,00:45:00,01:50:00,79:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.4132,12.6702,15.1492,19.2807,47.5133,21 a 50 Hectáreas,1-N/A,0.0,0,0,8,0,0,0,50,0,0,0,0,0,0,0,0,20,0,0,0,0,234,0,0,0,0,312,72638.0,0,0,0,0,0,0,,0,,0,Norte
2025,19,1963,25-10-0194,Combate,Incendio Forestal,105,4,8.3,23,5,57.9,23,Durango,Pueblo Nuevo,Com San Francisco de Lajas,Actividades agrícolas,Quema para preparación de siembra,2025-04-22,2025-05-04,Mayor de 7 Días,00:15:00,00:35:00,303:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,2.6266,16.6353,181.2371,260.0358,283.6754,744.2102,Mayor a 100 Hectáreas,C.A.D.N.R. 043 Estado de Nayarit,375.9576,Área de Protección de los Recursos Naturales,Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,110,12200.0,0,0,0,0,0,0,,0,,0,Norte
